Group,Athlete,Distance,Session Load,Workload,Sprint Distance,High Intensity Running,No. of High Intensity Events,Metres per Minute,No. of Sprints,Top Speed,Raw Top Speed,Accelerations,Decelerations,Minutes Played
,SYN_Indefinido_ALTO_00754,8287,1536,7.2,78,296,27,88,8,30.6,32.5,81,61,87
CBs,SYN_CBs_MEDIO_01844,3628,648,2.8,11,60,8,71,1,29.3,31.4,39,21,55
STs,SYN_STs_MEDIO_00834,4477,743,3.5,58,187,15,78,4,26.9,30.4,41,45,57
CBs,SYN_CBs_ALTO_01598,8593,1605,8.2,25,251,20,93,3,29.2,30.4,79,61,85
CMs,SYN_CMs_ALTO_01313,9318,1801,8.4,49,232,16,107,3,31.0,33.3,39,55,81
10s,SYN_10s_ALTO_00193,9192,1761,8.6,63,276,15,100,3,32.5,34.9,50,69,89
CBs,SYN_CBs_MEDIO_02070,4697,821,4.0,7,99,10,79,1,26.2,27.4,32,33,59
10s,SYN_10s_MEDIO_01371,3755,764,3.5,28,155,11,62,1,32.5,34.7,42,21,61
,SYN_Indefinido_BAIXO_00725,216,124,1.1,10,0,0,15,0,25.2,28.0,3,0,32
,SYN_Indefinido_ALTO_00121,10114,2004,9.8,64,341,19,112,6,29.0,32.4,67,49,93
WBs,SYN_WBs_MEDIO_01414,6841,1340,6.3,47,292,10,96,2,28.4,31.4,35,46,72
WBs,SYN_WBs_MEDIO_01104,4960,982,5.5,28,182,11,84,0,28.2,30.5,43,26,58
CBs,SYN_CBs_BAIXO_01271,1365,112,0.3,12,9,0,25,0,25.3,26.8,7,0,49
STs,SYN_STs_MEDIO_01192,4852,989,4.6,55,252,13,64,4,29.1,32.3,51,39,75
STs,SYN_STs_BAIXO_00900,300,105,0.4,5,0,1,8,0,28.9,31.1,1,5,30
STs,SYN_STs_ALTO_00193,10174,2070,9.9,76,341,29,117,10,25.9,28.5,79,75,89
CBs,SYN_CBs_BAIXO_00791,373,115,0.2,0,38,0,57,0,25.1,28.4,0,0,8
,SYN_Indefinido_ALTO_00301,8946,1860,9.8,62,280,28,106,6,34.2,37.7,71,63,83
CMs,SYN_CMs_ALTO_02083,10228,1969,9.4,78,241,17,116,2,28.5,30.3,59,66,91
10s,SYN_10s_MEDIO_00556,3889,798,3.7,35,154,13,63,4,26.8,28.1,25,30,61
WBs,SYN_WBs_MEDIO_00929,7053,1408,7.4,45,324,14,91,4,28.9,31.0,43,42,76
CMs,SYN_CMs_ALTO_03472,11638,2206,11.1,61,317,21,128,4,29.6,32.0,65,81,91
CMs,SYN_CMs_ALTO_03317,7723,1390,7.1,42,262,12,92,2,32.1,34.0,40,42,82
WBs,SYN_WBs_ALTO_01326,9959,1791,9.1,69,432,25,110,7,28.6,32.0,80,63,85
10s,SYN_10s_BAIXO_01225,50,99,0.3,2,0,0,12,0,28.8,31.4,0,3,7
